
Plugin	Supported domains
abv	@abv.bg, @gyuvetch.bg, @gbg.bg
aggregator	@aggregator, @...
alice.lua*	@alice.it
ananzi.lua*	@ananzi.co.za, @...
aol	@aol.com, @aol.com.ar, @aol.fr, @aol.com.mx, @aol.com.au, @aol.de, @aol.com.pr, @aol.com.br, @jp.aol.com, @aol.com.uk, @aol.ca, @aola.com, @aim.com
arabia.lua*	@arabia.com, @algeriamail.com, @bahrainmail.com, @cairomail.com, @desertmail.com, @dubaimail.com, @iraqmail.com, @jerusalem-mail.com, @jordanmail.com, @kuwait-mail.com, @lebanonmail.com, @libyamail.com, @moroccomail.com, @omanmail.com, @palestinemail.com, @qatarmail.com, @qudsmail.com, @saudi-mail.com, @sudanmail.com, @syriamail.com, @tunisiamail.com, @uaemail.com, @yemenmail.com
aruba.lua*	@aruba.it
ciaoweb.lua*	@ciaoweb.it
davmail	@lycos.co.uk, @lycos.ch, @lycos.de, @lycos.es, @lycos.it, @lycos.at, @lycos.nl, @spray.se, @jubii.dk
elitel.lua*	@lombardiacom.it, @postino.it
excite	@excite.com, @myway.com
excitexml.lua*	@excite.com, @myway.com
